Relationship,Sentence_Id,Sentence
P,2,"Offred serves the Commander and his (Commander) wife, Serena Joy, a former gospel singer and advocate for ', ""``traditional values"
P,4,"Every month, when Offred is at the right point in her (Joy) menstrual cycle, she (Joy) must have impersonal, wordless sex with the Commander while Serena sits behind her (Serena), holding her (Serena) hands"
P,7,"As Offred tells the story of her (Serena) daily life, she (Serena) frequently slips into flashbacks, from which the reader can reconstruct the events leading up to the beginning of the novel"
P,35,"  (Commander)', ""After some time has gone by without Offred becoming pregnant, Serena suggests that Offred have sex with Nick secretly and pass the child off as the Commander's"
P,36,"Serena promises to bring Offred a picture of her (Serena) daughter if she (Serena) sleeps with Nick, and Offred realizes that Serena has always known the whereabouts of Offred's daughter"
P,37,"The same night that Offred is to sleep with Nick, the Commander secretly takes her (Serena) out to a club called Jezebel's, where the Commanders mingle with prostitutes"
P,44,"Soon after Offred returns from Jezebel's, late at night, Serena arrives and tells Offred to go to Nick's room"
P,47,Offred becomes caught up in the affair and ignores Ofglen's requests that she (Serena) gather information from the Commander for Mayday
N,53,"At home, Serena has found out about Offred's trip to Jezebel's, and she (Serena) sends her (Serena) to her (Serena) room, promising punishment"
N,54,"Offred waits there, and she (Serena) sees a black van from the Eyes approach"
N,56,"Offred leaves with them, over the Commander's futile objections, on her (Serena) way either to prison or to freedom--she (Serena) does not know which"
N,60,He (Professor) suggests that Nick arranged Offred's escape but that her (Serena) fate after that is unknown
