Relationship,Sentence_Id,Sentence
P,7,"Although Fermina Daza may have erased Florentino Ariza from her (wife) memory, he (Doctor) has not stopped thinking of her (wife) since their long, troubled love affair ended fifty-one years, nine months, and four days ago"
N,8,"Florentino first meets Fermina when he (Florentino) delivers a tele gram to her (wife) father, Lorenzo Daza, who is notorious for his (Daza) shady dealings"
P,9,"After watching Fermina, always accompanied by her (wife) Aunt Escolástica, walk to school each day from the Park of the Evangels, Florentino works up the courage to approach her (wife) o ne day"
P,13,"He (Florentino) is in agony as he (Florentino) awaits her (wife) reply, but is overjoyed when Fermina finally answers approvingly"
P,14,"In the two years that follow, Fermina and Florentino see one another only in passing, though they write love letters daily"
P,15,"Florentino proposes marriage to Fermina, and again her (wife) reply is favorable"
N,17,"Lorenzo finds love letters in Fermina's room and as punishment, banishes Escolástica and forces Fermina to accompany him (Lorenzo) on a long journey, not to end until she (wife) has forgotten about Florentino"
P,18,"On the journey, Fermina meets and befriends her (wife) older cousin, Hildebranda Sánchez, who helps Florentino and Fermina communicate via telegraph messages"
P,19,"Florentino hardly recognizes Fermina upon her (wife) return from the long journey, because, now seventeen, she (wife) has matured into a woman"
N,21,"When Fermina sees him (Florentino), she (wife) is suddenly disgusted with him (Florentino) and w ith herself for ever having been foolish enough to love him (Florentino)"
P,23,"  (Florentino)', 'Florentino tries once more to woo Fermina, but to no avail"
N,24,"In the fifty-one years, nine months, and four days that follow, not once does Florentino have the chance to speak or see his (Florentino) beloved Fermina in private"
N,25,"Initially, he (Florentino) vows to save his (Florentino) virginity for only Fermina, but after being seized by Rosalba aboard a ship to a faraway city, he (Florentino) turns to sex to ameliorate the pain he (Florentino) feels at having lo st Fermina"
N,29,"Urbino courts Fermina, who resists his (Florentino) affections"
N,31,"When Florentino hears that Fermina is to marry a prestigious physician, he (Florentino) vows to make himself worthy of her (daughter)"
N,35,"Despite his (Florentino) determination to win Fermina, Florentino continues his (Florentino) lustful affairs with other women, whom he (Florentino) finds at the transient hotel and on the trolley"
P,39,Urbino to die before he (Florentino) can win over Fermina
P,53,"Florentino asks Fermina to accompany him (Florentino) on a river voyage, and she (Barbara) accepts"
P,54,"On the voyage, Florentino and Fermina finally make love"
N,55,"As the ship reaches its last port, Fermina sees people she (Barbara) knows and frets that if they see her (Barbara) with Florentino, it w ill cause scandal"
P,57,"There remain no passengers on aboard but Fermina, Florentino, the Captain, and his (Florentino) lover"
