Relationship,Sentence_Id,Sentence
P,24,"When Achilles discovers that Hector has killed Patroclus, he (Hector) fills with such grief and rage that he (Hector) agrees to reconcile with Agamemnon and rejoin the battle"
P,25,"Thetis goes to Mount Olympus and persuades the god Hephaestus to forge Achilles a new suit of armor, which she (Hector) presents to him (Achilles) the next morning"
P,27,"Meanwhile, Hector, not expecting Achilles to rejoin the battle, has ordered his (Achilles) men to camp outside the walls of Troy"
P,31,"Finally, Achilles confronts Hector outside the walls of Troy"
P,32,"Ashamed at the poor advice that he (Achilles) gave his (Achilles) comrades, Hector refuses to flee inside the city with them"
N,33,"Achilles chases him (Achilles) around the city's periphery three times, but the goddess Athena finally tricks Hector into turning around and fighting Achilles"
N,34,"In a dramatic duel, Achilles kills Hector"
N,37,"Each day for the next nine days, Achilles drags Hector's body in circles around Patroclus's funeral bier"
N,40,Priam tearfully pleads with Achilles to take pity on a father bereft of his (Achilles) son and return Hector's body
N,41,"He (Hector) invokes the memory of Achilles' own father, Peleus"
