Relationship,Sentence_Id,Sentence
P,8,"To Nora's great surprise, Kristine Linde, a former school friend, comes into the room"
P,12,"Linde tells Nora that when her (Linde) husband died, she (Linde) was left with no money and no children"
P,14,Linde about her (Nora) first year of marriage to Torvald
P,24,"Linde--without Torvald's knowledge, Nora illegally borrowed money for the trip that she (Nora) and Torvald took to Italy; she (Nora) told Torvald that the money had come from her (Nora) father"
P,33,"Linde then depart, leaving Nora by herself"
P,45,Linde arrives and helps sew Nora's costume for the ball that Nora will be attending at her (Nora) neighbors' home the following evening
P,53,Linde's charge but refuses to reveal the source of her (Nora) distress
P,72,Linde instructs Nora to delay Torvald from opening the letter as long as possible while she (Nora) goes to speak with Krogstad
P,77,Linde soon returns and says that she (Nora) has left Krogstad a note but that he (Torvald) will be gone until the following evening
P,85,"Linde, however, insists he (Torvald) leave the letter, because she (Linde) believes both Torvald and Nora will be better off once the truth has been revealed"
P,88,"Linde, Torvald tells Nora how desirable she (Nora) looked as she (Nora) danced"
