Relationship,Sentence_Id,Sentence
P,31,"One day Taylor meets two of Mattie's friends, Estevan and Esperanza, a married couple from Guatemala"
N,37,"When Estevan comes to tell Taylor this news, he (Taylor) ends up divulging the story of their past"
N,41,Estevan spends the night on Taylor's couch
N,46,"On the night of the first summer rain, Mattie takes Esperanza, Estevan, and Taylor into the desert to see the natural world come to life"
N,52,Turtle's trauma and the difficulties of Estevan and Esperanza make Taylor depressed
N,58,Taylor decides she (Esperanza) will transport Estevan and Esperanza to another sanctuary for illegal immigrants in Oklahoma
N,62,"Taylor, Esperanza, and Estevan decide to go to the Lake o' the Cherokees"
N,63,"During that time, Taylor concocts a plan to convince the authorities in Oklahoma that Estevan and Esperanza are Turtle's biological parents"
N,67,"Taylor and Turtle drop off Esperanza and Estevan at their new home, a church in Oklahoma"
N,68,Taylor says a tearful goodbye to Estevan
